zID,year,roomPoints,gender,password,startTime,roomType
z1,2,50,m,a,10:30AM 12/11/2019,
z2,2,21,m,a,11:00AM 12/11/2019,
z3,2,41,m,a,11:30AM 12/11/2019,
z4,2,35,m,a,10:30AM 12/11/2019,
z5,2,40,m,a,11:00AM 12/11/2019,
z6,2,37,m,a,11:30AM 12/11/2019,
z7,2,38,m,a,10:30AM 12/11/2019,
z8,2,25,m,a,11:00AM 12/11/2019,
z9,2,24,m,a,11:30AM 12/11/2019,
z10,2,13,m,a,10:30AM 12/11/2019,
z11,2,31,m,a,11:00AM 12/11/2019,
z12,2,46,m,a,11:30AM 12/11/2019,
z13,2,18,m,a,10:30AM 12/11/2019,
z14,2,16,m,a,11:00AM 12/11/2019,
z15,2,40,m,a,11:30AM 12/11/2019,
z16,2,21,m,a,10:30AM 12/11/2019,
z17,2,46,m,a,11:00AM 12/11/2019,
z18,2,32,m,a,11:30AM 12/11/2019,
z19,2,3,m,a,10:30AM 12/11/2019,
z20,2,7,m,a,11:00AM 12/11/2019,ensuite
z21,2,37,m,a,11:30AM 12/11/2019,ensuite
z22,2,7,m,a,10:30AM 12/11/2019,ensuite
z23,2,2,m,a,11:00AM 12/11/2019,ensuite
z24,2,8,m,a,11:30AM 12/11/2019,ensuite
z25,2,34,m,a,10:30AM 12/11/2019,ensuite
z26,2,14,m,a,11:00AM 12/11/2019,ensuite
z27,2,19,f,a,11:30AM 12/11/2019,
z28,2,6,f,a,10:30AM 12/11/2019,
z29,2,37,f,a,11:00AM 12/11/2019,
z30,2,12,f,a,11:30AM 12/11/2019,
z31,2,38,f,a,10:30AM 12/11/2019,
z32,2,34,f,a,11:00AM 12/11/2019,
z33,2,30,f,a,11:30AM 12/11/2019,
z34,2,17,f,a,10:30AM 12/11/2019,
z35,2,22,f,a,11:00AM 12/11/2019,
z36,2,33,f,a,11:30AM 12/11/2019,
z37,2,23,f,a,10:30AM 12/11/2019,
z38,2,2,f,a,11:00AM 12/11/2019,
z39,2,8,f,a,11:30AM 12/11/2019,
z40,2,35,f,a,10:30AM 12/11/2019,
z41,2,37,f,a,11:00AM 12/11/2019,
z42,2,45,f,a,11:30AM 12/11/2019,
z43,2,4,f,a,10:30AM 12/11/2019,
z44,2,42,f,a,11:00AM 12/11/2019,ensuite
z45,2,21,f,a,11:30AM 12/11/2019,ensuite
z46,2,18,f,a,10:30AM 12/11/2019,ensuite
z47,2,40,f,a,11:00AM 12/11/2019,ensuite
z48,2,3,f,a,11:30AM 12/11/2019,ensuite
z49,2,12,f,a,10:30AM 12/11/2019,ensuite
z50,2,10,f,a,11:00AM 12/11/2019,ensuite
